,lower-words,in%texts
1065,confiance,83.33333333333334
1066,connaissent,83.33333333333334
1067,connaissez,83.33333333333334
1068,connaît,83.33333333333334
1069,considérait,83.33333333333334
1070,contenait,83.33333333333334
1071,content,83.33333333333334
1072,contente,83.33333333333334
1073,continua,83.33333333333334
1074,continuait,83.33333333333334
1075,continuer,83.33333333333334
1076,convenu,83.33333333333334
1077,conversation,83.33333333333334
1078,corde,83.33333333333334
1079,couche,83.33333333333334
1080,couché,83.33333333333334
1081,couleur,83.33333333333334
1082,couleurs,83.33333333333334
1083,couple,83.33333333333334
1084,couraient,83.33333333333334
1085,courrier,83.33333333333334
1086,courses,83.33333333333334
1087,courte,83.33333333333334
1088,courtes,83.33333333333334
1089,couteau,83.33333333333334
1090,cravate,83.33333333333334
1091,cria,83.33333333333334
1092,criait,83.33333333333334
1093,crie,83.33333333333334
1094,crier,83.33333333333334
1095,crise,83.33333333333334
1096,croit,83.33333333333334
1097,croyais,83.33333333333334
1098,croyait,83.33333333333334
1099,croyez,83.33333333333334
1100,cuivre,83.33333333333334
1101,curieuse,83.33333333333334
1102,curiosité,83.33333333333334
1103,côte,83.33333333333334
1104,dame,83.33333333333334
1105,dedans,83.33333333333334
1106,delà,83.33333333333334
1107,demanda,83.33333333333334
1108,demandait,83.33333333333334
1109,derniers,83.33333333333334
1110,descendait,83.33333333333334
1111,descendit,83.33333333333334
1112,descendre,83.33333333333334
1113,deuxième,83.33333333333334
1114,devaient,83.33333333333334
1115,devenue,83.33333333333334
1116,devez,83.33333333333334
1117,devient,83.33333333333334
1118,devinait,83.33333333333334
1119,devine,83.33333333333334
1120,différence,83.33333333333334
1121,dirigea,83.33333333333334
1122,disais,83.33333333333334
1123,discrètement,83.33333333333334
1124,dise,83.33333333333334
1125,disparu,83.33333333333334
1126,distance,83.33333333333334
1127,dizaine,83.33333333333334
1128,docteur,83.33333333333334
1129,doigt,83.33333333333334
1130,doivent,83.33333333333334
1131,domestique,83.33333333333334
1132,domestiques,83.33333333333334
1133,donnait,83.33333333333334
1134,dormait,83.33333333333334
1135,douter,83.33333333333334
1136,douze,83.33333333333334
1137,drame,83.33333333333334
1138,dressait,83.33333333333334
1139,duquel,83.33333333333334
1140,dur,83.33333333333334
1141,dut,83.33333333333334
1142,débarrasser,83.33333333333334
1143,découvert,83.33333333333334
1144,découvre,83.33333333333334
1145,défi,83.33333333333334
1146,déjeuner,83.33333333333334
1147,démarche,83.33333333333334
1148,déplacer,83.33333333333334
1149,désagréable,83.33333333333334
1150,désert,83.33333333333334
1151,désigna,83.33333333333334
1152,désignait,83.33333333333334
1153,désire,83.33333333333334
1154,désordre,83.33333333333334
1155,détourna,83.33333333333334
1156,dîner,83.33333333333334
1157,endormir,83.33333333333334
1158,engager,83.33333333333334
1159,ennemis,83.33333333333334
1160,ennuis,83.33333333333334
1161,enquête,83.33333333333334
1162,entendait,83.33333333333334
1163,entendez,83.33333333333334
1164,entendit,83.33333333333334
1165,entends,83.33333333333334
1166,entra,83.33333333333334
1167,entrer,83.33333333333334
1168,entretien,83.33333333333334
1169,entrez,83.33333333333334
1170,entré,83.33333333333334
1171,envoyer,83.33333333333334
1172,espace,83.33333333333334
1173,espèce,83.33333333333334
1174,espère,83.33333333333334
1175,espérait,83.33333333333334
1176,essaie,83.33333333333334
1177,essayait,83.33333333333334
1178,essayé,83.33333333333334
1179,eut,83.33333333333334
1180,excusez,83.33333333333334
1181,expliquait,83.33333333333334
1182,expression,83.33333333333334
1183,exprès,83.33333333333334
1184,eût,83.33333333333334
1185,facile,83.33333333333334
1186,faisaient,83.33333333333334
1187,faisait,83.33333333333334
1188,fallait,83.33333333333334
1189,fallut,83.33333333333334
1190,fatigué,83.33333333333334
1191,faudra,83.33333333333334
1192,fauteuil,83.33333333333334
1193,fera,83.33333333333334
1194,fermait,83.33333333333334
1195,ferme,83.33333333333334
1196,fermé,83.33333333333334
1197,fermée,83.33333333333334
1198,fils,83.33333333333334
1199,finir,83.33333333333334
1200,fit,83.33333333333334
1201,fixait,83.33333333333334
1202,fixe,83.33333333333334
1203,folle,83.33333333333334
1204,formait,83.33333333333334
1205,formes,83.33333333333334
1206,forte,83.33333333333334
1207,fou,83.33333333333334
1208,france,83.33333333333334
1209,franchement,83.33333333333334
1210,frappa,83.33333333333334
1211,frapper,83.33333333333334
1212,fraîcheur,83.33333333333334
1213,froide,83.33333333333334
1214,fronça,83.33333333333334
1215,frère,83.33333333333334
1216,fumait,83.33333333333334
1217,fumer,83.33333333333334
1218,fumée,83.33333333333334
1219,fut,83.33333333333334
1220,fût,83.33333333333334
1221,gagné,83.33333333333334
1222,gardien,83.33333333333334
1223,gardé,83.33333333333334
1224,gentil,83.33333333333334
1225,glissait,83.33333333333334
1226,glisser,83.33333333333334
1227,gorge,83.33333333333334
1228,goutte,83.33333333333334
1229,gouttes,83.33333333333334
1230,goût,83.33333333333334
1231,grogna,83.33333333333334
1232,groupe,83.33333333333334
1233,guéridon,83.33333333333334
1234,gênant,83.33333333333334
1235,habiller,83.33333333333334
1236,habillé,83.33333333333334
1237,habitants,83.33333333333334
1238,habite,83.33333333333334
1239,habituelle,83.33333333333334
1240,habitué,83.33333333333334
1241,haussa,83.33333333333334
1242,haute,83.33333333333334
1243,hauteur,83.33333333333334
1244,heureux,83.33333333333334
1245,hier,83.33333333333334
1246,histoires,83.33333333333334
1247,humeur,83.33333333333334
1248,hâte,83.33333333333334
1249,hésita,83.33333333333334
1250,hésitation,83.33333333333334
1251,hésiter,83.33333333333334
1252,identité,83.33333333333334
1253,idiot,83.33333333333334
1254,imbécile,83.33333333333334
1255,immense,83.33333333333334
1256,impatience,83.33333333333334
1257,important,83.33333333333334
1258,impression,83.33333333333334
1259,impressionné,83.33333333333334
1260,installé,83.33333333333334
1261,instants,83.33333333333334
1262,intention,83.33333333333334
1263,interlocuteur,83.33333333333334
1264,interrogatoire,83.33333333333334
1265,intervenir,83.33333333333334
1266,intérieur,83.33333333333334
1267,intérêt,83.33333333333334
1268,inutile,83.33333333333334
1269,invraisemblable,83.33333333333334
